Date,Time,S_W
19/08/2017,12:15:31,S
19/08/2017,12:18:09,W
19/08/2017,12:34:30,S
19/08/2017,12:36:22,W
19/08/2017,12:41:18,S
19/08/2017,13:17:57,W
19/08/2017,13:56:44,S
19/08/2017,14:03:04,W
19/08/2017,14:09:08,S
19/08/2017,14:09:48,W
19/08/2017,14:13:09,S
19/08/2017,14:43:20,W
19/08/2017,14:43:40,S
19/08/2017,14:45:09,W
19/08/2017,14:45:18,S
19/08/2017,15:08:12,W
19/08/2017,15:12:12,S
19/08/2017,15:15:38,S
