Date,Time,S_W
19/08/2017,12:15:31,S
19/08/2017,12:45:31,S
19/08/2017,12:51:39,W
19/08/2017,13:39:01,S
19/08/2017,15:03:28,W
19/08/2017,15:04:06,S
19/08/2017,15:15:39,S
