Date,Time,S_W
19/08/2017,12:15:30,S
19/08/2017,12:51:57,W
19/08/2017,13:00:12,S
19/08/2017,13:52:02,W
19/08/2017,13:52:40,S
19/08/2017,14:00:50,W
19/08/2017,14:21:12,S
19/08/2017,14:23:05,W
19/08/2017,14:25:30,S
19/08/2017,14:28:43,W
19/08/2017,14:36:40,S
19/08/2017,15:16:38,S
