Date,Time,S_W
19/08/2017,12:15:38,W
19/08/2017,12:27:37,S
19/08/2017,12:35:39,W
19/08/2017,12:44:53,S
19/08/2017,12:46:04,W
19/08/2017,12:49:22,S
19/08/2017,12:52:35,W
19/08/2017,12:54:20,S
19/08/2017,12:57:07,W
